SK_ID_CURR,TARGET,TARGET_1_PROBA,PAYMENT_RATE,EXT_SOURCE_1,EXT_SOURCE_3,EXT_SOURCE_2,DAYS_BIRTH,INSTAL_AMT_PAYMENT_SUM,AMT_ANNUITY,DAYS_EMPLOYED,CLOSED_AMT_CREDIT_SUM_MEAN,INSTAL_DAYS_ENTRY_PAYMENT_MAX,PREV_APP_CREDIT_PERC_VAR,AMT_GOODS_PRICE,DAYS_EMPLOYED_PERC,PREV_APP_CREDIT_PERC_MEAN,ACTIVE_AMT_CREDIT_SUM_SUM,INSTAL_AMT_PAYMENT_MIN,INSTAL_DAYS_ENTRY_PAYMENT_SUM,INSTAL_DPD_MEAN,REGION_POPULATION_RELATIVE,ANNUITY_INCOME_PERC,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,DAYS_REGISTRATION,APPROVED_CNT_PAYMENT_MEAN,APPROVED_DAYS_DECISION_MAX,PREV_CNT_PAYMENT_MEAN,INSTAL_PAYMENT_DIFF_MEAN,ACTIVE_DAYS_CREDIT_MAX,DAYS_ID_PUBLISH,PREV_DAYS_DECISION_MAX,ACTIVE_AMT_CREDIT_SUM_MEAN,CLOSED_DAYS_CREDIT_MAX,ACTIVE_DAYS_CREDIT_ENDDATE_MIN,CLOSED_DAYS_CREDIT_ENDDATE_MAX,BURO_DAYS_CREDIT_MAX,AMT_CREDIT,PREV_APP_CREDIT_PERC_MIN,ACTIVE_DAYS_CREDIT_UPDATE_MEAN,BURO_DAYS_CREDIT_ENDDATE_MEAN,DAYS_LAST_PHONE_CHANGE,BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,ACTIVE_DAYS_CREDIT_ENDDATE_MAX,INSTAL_DBD_SUM,OWN_CAR_AGE,INSTAL_DBD_MEAN,INSTAL_DBD_MAX,POS_MONTHS_BALANCE_SIZE,ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,INCOME_CREDIT_PERC,BURO_DAYS_CREDIT_ENDDATE_MAX,CODE_GENDER
100001,0.0,0.3201857336241545,0.0361471518987341,0.7526144906031748,0.1595195404777181,0.7896543511176771,-19241,41195.925,20560.5,-2329.0,142335.0,-1628.0,,450000.0,0.1210436048022452,1.0440786984487325,884025.0,3951.0,-15365.0,1.5714285714285714,0.01885,0.1523,,-5170.0,8.0,-1740.0,8.0,0.0,-49.0,-812,-1740.0,294675.0,-857.0,411.0,-179.0,-49.0,568800.0,1.0440786984487325,-10.666666666666666,82.42857142857143,-1740.0,,1778.0,62.0,,8.857142857142858,36.0,9.0,1030.3333333333333,0.2373417721518987,1778.0,1
100002,1.0,1.0,0.0607492667810303,0.0830369673913225,0.1393757800997895,0.2629485927471776,-9461,219625.695,24700.5,-637.0,63844.5,-49.0,,351000.0,0.0673290349857309,1.0,481988.565,9251.775,-5993.0,0.0,0.018801,0.1219777777777777,,-3648.0,24.0,-606.0,24.0,0.0,-103.0,-2120,-606.0,240994.2825,-476.0,780.0,85.0,-103.0,406597.5,1.0,-15.5,-349.0,-1134.0,1681.029,780.0,388.0,,20.42105263157895,31.0,19.0,780.0,0.4980355265342261,780.0,0
100003,0.0,0.0,0.0275983231574736,0.3112673113812225,,0.6222457752555098,-16765,1618864.65,35698.5,-1188.0,69133.5,-544.0,0.0053241561080653,1129500.0,0.0708619147032508,0.949329315178998,810000.0,6662.97,-34633.0,0.0,0.0035409999999999,0.1322166666666666,,-1186.0,10.0,-746.0,10.0,0.0,-606.0,-291,-746.0,810000.0,-775.0,1216.0,-420.0,-606.0,1293502.5,0.8688248275382717,-43.0,-544.5,-828.0,0.0,1216.0,179.0,,7.16,14.0,28.0,1216.0,0.2087355841987162,1216.0,1
100004,0.0,0.0,0.05,,0.7295666907060153,0.5559120833904428,-19046,21288.465,6750.0,-225.0,94518.9,-727.0,,135000.0,0.0118135041478525,1.207699194270367,,5357.25,-2285.0,0.0,0.010032,0.1,,-4260.0,4.0,-815.0,4.0,0.0,,-2531,-815.0,,-408.0,,-382.0,-408.0,135000.0,1.207699194270367,,-488.5,-815.0,0.0,,23.0,26.0,7.666666666666667,11.0,4.0,,0.5,-382.0,0
100005,0.0,0.4250274576247193,0.0779734970911441,0.5649902017969249,0.4329616670974407,0.2916555320093651,-18064,56161.845,17370.0,-4469.0,58500.0,-470.0,,180000.0,0.2473981399468556,1.111173372184243,598626.0,4813.2,-5486.0,0.1111111111111111,0.035792,0.1754545454545454,,-9118.0,12.0,-757.0,12.0,0.0,-62.0,-1623,-315.0,299313.0,-373.0,122.0,-128.0,-62.0,222768.0,1.111173372184243,-21.0,439.3333333333333,0.0,0.0,1324.0,213.0,,23.666666666666668,37.0,11.0,723.0,0.4444085326438267,1324.0,0
100006,0.0,0.0,0.0949413542491185,,,0.6504416904014653,-19005,1007153.415,29686.5,-3039.0,,-12.0,0.0270406969838797,297000.0,0.1599052880820836,1.0107628093387502,,2482.92,-4346.0,0.0,0.008019,0.2199,,-9833.0,18.0,-181.0,23.0,0.0,,-2437,-181.0,,,,,,312682.5,0.7594182756737976,,,-617.0,,,310.0,,19.375,77.0,21.0,,0.4317478592501979,,1
100007,0.0,0.0,0.0426228070175438,,,0.3227382869704046,-19932,806127.975,21865.5,-3038.0,146250.0,-14.0,0.0164563823311325,513000.0,0.1524182219546458,0.9696497277765476,,0.18,-68128.0,0.9545454545454546,0.028663,0.1799629629629629,,-4311.0,20.666666666666668,-374.0,20.666666666666668,452.38431818181823,,-3458,-374.0,,-1149.0,,-783.0,-1149.0,513000.0,0.7911392405063291,,-783.0,-1106.0,0.0,,303.0,,4.590909090909091,31.0,66.0,,0.2368421052631578,-783.0,0
100008,0.0,0.0,0.0561014321232304,,0.6212263380626669,0.3542247319929012,-16941,957617.595,27517.5,-1588.0,100419.75,-82.0,0.0107130481445117,454500.0,0.0937370875391063,1.0300488484384642,267606.0,227.16,-43323.0,37.62857142857143,0.035792,0.2779545454545454,,-4970.0,14.0,-370.0,14.0,342.46157142857146,-78.0,-477,-82.0,267606.0,-1097.0,471.0,-792.0,-78.0,490495.5,0.8964589870013447,-16.0,-391.3333333333333,-2536.0,0.0,471.0,403.0,,11.514285714285714,28.0,83.0,471.0,0.2018367140982944,471.0,0
100009,0.0,0.0,0.0264626846736711,0.7747614130547695,0.4920600938649263,0.7239998516953141,-13778,487995.12,41301.0,-3130.0,233803.60714285716,-58.0,0.005246813716515,1395000.0,0.2271737552620119,1.0954823194633418,1527561.0,6155.28,-44085.0,0.1372549019607843,0.035792,0.2415263157894736,,-1213.0,8.0,-74.0,8.0,0.0,-239.0,-619,-74.0,381890.25,-684.0,-209.0,1044.0,-239.0,1560726.0,1.0,-245.75,-794.9375,-1562.0,0.0,1402.0,445.0,17.0,8.72549019607843,23.0,64.0,596.5,0.109564395031543,1402.0,1
100010,0.0,0.0,0.0275,,0.5406544504453575,0.7142792864482229,-18850,274492.08,42075.0,-449.0,315000.0,-774.0,,1530000.0,0.0238196286472148,0.9478587942993202,675000.0,27321.39,-9159.0,0.0,0.0031219999999999,0.116875,,-4597.0,10.0,-1070.0,10.0,0.0,-1138.0,-2379,-1070.0,675000.0,-2741.0,689.0,-928.0,-1138.0,1530000.0,0.9478587942993202,-18.0,-119.5,-1070.0,,689.0,119.0,8.0,11.9,30.0,11.0,689.0,0.2352941176470588,689.0,0
